,NOC,Team,Year,Season,Games,num_olympians,num_medalist,perc_medalist
0,ABW,Aruba,1988,Summer,1988 Summer,8,,
1,ABW,Aruba,1992,Summer,1992 Summer,5,,
2,ABW,Aruba,1996,Summer,1996 Summer,3,,
3,ABW,Aruba,2000,Summer,2000 Summer,5,,
4,ABW,Aruba,2004,Summer,2004 Summer,4,,
5,ABW,Aruba,2008,Summer,2008 Summer,2,,
6,ABW,Aruba,2012,Summer,2012 Summer,4,,
7,ABW,Aruba,2016,Summer,2016 Summer,7,,
8,AFG,Afghanistan,1960,Summer,1960 Summer,12,,
9,AFG,Afghanistan,1964,Summer,1964 Summer,8,,
10,AFG,Afghanistan,1968,Summer,1968 Summer,5,,
11,AFG,Afghanistan,1972,Summer,1972 Summer,8,,
12,AFG,Afghanistan,1980,Summer,1980 Summer,11,,
13,AFG,Afghanistan,1988,Summer,1988 Summer,5,,
14,AFG,Afghanistan,1996,Summer,1996 Summer,2,,
15,AFG,Afghanistan,2004,Summer,2004 Summer,5,,
16,AFG,Afghanistan,2008,Summer,2008 Summer,4,1.0,0.25
17,AFG,Afghanistan,2012,Summer,2012 Summer,6,1.0,0.16666666666666666
18,AFG,Afghanistan,2016,Summer,2016 Summer,3,,
19,AGO,Angola,1980,Summer,1980 Summer,11,,
20,AGO,Angola,1988,Summer,1988 Summer,24,,
21,AGO,Angola,1992,Summer,1992 Summer,28,,
22,AGO,Angola,1996,Summer,1996 Summer,28,,
23,AGO,Angola,2000,Summer,2000 Summer,30,,
24,AGO,Angola,2004,Summer,2004 Summer,30,,
25,AGO,Angola,2008,Summer,2008 Summer,32,,
26,AGO,Angola,2012,Summer,2012 Summer,33,,
27,AGO,Angola,2016,Summer,2016 Summer,26,,
28,AHO,Netherlands Antilles,1960,Summer,1960 Summer,5,,
29,AHO,Netherlands Antilles,1964,Summer,1964 Summer,4,,
30,AHO,Netherlands Antilles,1968,Summer,1968 Summer,5,,
31,AHO,Netherlands Antilles,1972,Summer,1972 Summer,2,,
32,AHO,Netherlands Antilles,1976,Summer,1976 Summer,4,,
33,AHO,Netherlands Antilles,1984,Summer,1984 Summer,8,,
34,AHO,Netherlands Antilles,1988,Summer,1988 Summer,3,1.0,0.3333333333333333
35,AHO,Netherlands Antilles,1988,Winter,1988 Winter,2,,
36,AHO,Netherlands Antilles,1992,Summer,1992 Summer,4,,
37,AHO,Netherlands Antilles,1992,Winter,1992 Winter,2,,
38,AHO,Netherlands Antilles,1996,Summer,1996 Summer,6,,
39,AHO,Netherlands Antilles,2000,Summer,2000 Summer,7,,
40,AHO,Netherlands Antilles,2004,Summer,2004 Summer,3,,
41,AHO,Netherlands Antilles,2008,Summer,2008 Summer,3,,
